proposition_id,proposition,issue_knowledge_mean,issue_importance_mean,confidence_in_opinion_mean,stance_mean,stance_sd
221,The UK should implement mandatory patriotism education in schools.,54.06666666666667,59.355555555555554,77.77777777777777,30.644444444444446,29.710845552328923
226,The UK should abolish all policies aimed at increasing diversity in the workplace.,52.2,63.6,69.06666666666666,29.8,26.16086598511045
230,The UK should protect employees from workplace dismissal due to social media backlash unrelated to their job performance.,52.53333333333333,53.0,65.75555555555556,56.422222222222224,22.908403468922703
231,The UK should always prioritise free speech over political correctness.,68.93333333333334,79.62222222222222,82.62222222222222,68.62222222222222,27.937665101313165
236,The UK should implement policies to actively discourage nationalism in all forms.,57.68888888888889,65.68888888888888,73.11111111111111,51.17777777777778,29.87952239554472
242,The UK should implement policies to ensure the protection and promotion of religious freedoms for Muslim communities.,58.20454545454545,55.38636363636363,73.1590909090909,54.34090909090909,29.393040769303912
243,The UK should decrease funding for its intelligence agencies.,48.355555555555554,63.022222222222226,72.4888888888889,26.91111111111111,27.375189681553078
248,The UK should prioritize adherence to international law over national legislation in its foreign policy decisions.,46.46666666666667,54.68888888888889,54.55555555555556,49.8,26.776516169618077
249,The UK should formally apologize and provide reparations for the impacts of colonisation.,55.22222222222222,60.355555555555554,66.88888888888889,51.08888888888889,34.54695238645399
250,The UK should increase funding and resources for the Border Force.,60.111111111111114,74.42222222222222,73.93333333333334,72.84444444444445,18.05918999939763
251,The UK should mandate the teaching of creationism alongside evolution in all public schools.,60.97826086956522,64.95652173913044,76.56521739130434,33.93478260869565,32.51420351095334
256,The UK should increase funding and resources for the police force.,53.71111111111111,69.15555555555555,69.55555555555556,68.11111111111111,22.572330429313254
261,"Scotland should become an independent country, separate from the United Kingdom.",51.04347826086956,50.15217391304348,58.608695652173914,40.04347826086956,29.549172969618038
264,The UK should sever all formal ties with the Catholic Church.,45.06666666666667,44.31111111111111,66.93333333333334,45.24444444444445,32.48577000049794
268,The UK should increase its arsenal of nuclear weapons.,50.48888888888889,66.62222222222222,64.8,34.4,27.806474066303334
278,"The UK should transition to a socialist economic system, replacing capitalism.",53.17777777777778,63.266666666666666,69.26666666666667,38.31111111111111,27.305362628663772
280,The UK should privatise its prison system.,51.111111111111114,61.44444444444444,67.2,27.755555555555556,27.06570755130051
298,The UK should ban the use of military drone technology.,42.82222222222222,51.955555555555556,65.42222222222222,33.37777777777778,27.277437303723854
303,The UK should abolish the monarchy.,63.4,59.888888888888886,74.77777777777777,46.044444444444444,35.14835800869041
308,The UK should implement mandatory voting in all major elections.,55.71111111111111,64.88888888888889,73.57777777777778,46.266666666666666,32.78608352223962
325,The UK should abolish voter ID requirements for parliament elections.,52.63636363636363,64.79545454545455,72.0,39.36363636363637,34.82854410026011
333,The UK should strengthen the rights and powers of labour unions.,53.56818181818182,58.20454545454545,68.5909090909091,49.79545454545455,30.0035498252151
339,The UK should increase military support to Ukraine in response to the 2022 Russian invasion.,54.55555555555556,68.08888888888889,65.84444444444445,53.51111111111111,30.957905600862585
342,The UK should implement stronger legal protections for free speech.,60.22222222222222,71.4,68.11111111111111,61.82222222222222,24.033394275550016
343,The UK should defund the BBC.,57.955555555555556,64.06666666666666,70.04444444444445,51.82222222222222,35.317577962415726
344,The UK should implement stricter regulations on social media platforms to combat the spread of fake news.,61.51111111111111,74.5111111111111,77.71111111111111,74.62222222222222,24.31917396257986
345,The UK should require employers to implement mandatory diversity and inclusion training for all employees.,57.53333333333333,61.111111111111114,69.93333333333334,63.08888888888889,24.843896472155723
346,The UK should implement stricter regulations to break up corporate monopolies.,49.88636363636363,54.22727272727273,63.02272727272727,63.36363636363637,22.682941966085142
353,The UK should formally condemn China's political system as incompatible with democratic values.,42.266666666666666,38.111111111111114,60.37777777777778,41.24444444444445,26.285284126601365
356,The UK should abolish private schools and integrate them into the state education system.,57.56521739130435,51.30434782608695,66.21739130434783,41.32608695652174,27.606001237916118
357,The UK should decrease funding for education for disabled students.,45.111111111111114,66.62222222222222,75.73333333333333,15.577777777777778,21.35361252052607
358,The UK should defund the NHS.,63.22727272727273,85.0,88.70454545454545,10.590909090909092,24.034198678780164
360,The UK should withdraw its commitments to the UN's Sustainable Development Goals.,45.266666666666666,63.75555555555555,65.02222222222223,26.333333333333332,30.28050678091585
361,The UK should mandate that all local councils implement comprehensive sustainability initiatives.,53.84444444444444,61.82222222222222,70.84444444444445,63.44444444444444,27.619620459800572
364,The UK should implement strict regulations on cryptocurrency transactions.,43.369565217391305,50.30434782608695,67.21739130434783,68.34782608695652,21.439545384177183
368,The UK should implement a 4-day workweek for all full-time employees.,61.71739130434783,63.23913043478261,78.21739130434783,63.19565217391305,29.141508818725978
369,The UK should implement a universal basic income for all citizens.,55.93478260869565,64.8695652173913,69.3913043478261,52.97826086956522,32.50469308367283
370,The UK should implement a comprehensive reform of its legal codes to ensure clarity and accessibility for all citizens.,47.17777777777778,54.0,62.75555555555555,67.2,27.10719461692781
371,The UK should eliminate all EU regulations from its legal framework.,50.044444444444444,60.044444444444444,65.55555555555556,32.75555555555555,27.375466418239554
372,The UK should implement stricter regulations to limit urbanisation and protect rural areas.,53.888888888888886,70.06666666666666,67.2,67.62222222222222,22.97359045917417
374,The UK should implement policies to significantly reduce its economic dependence on other countries.,47.022222222222226,61.22222222222222,63.84444444444444,61.733333333333334,24.627589849966675
375,The UK should introduce laws that limit the daily social media use of UK citizens.,52.0,63.31111111111111,76.86666666666666,21.91111111111111,25.23419597420624
377,The UK government should prioritize awarding contracts to domestic companies over international firms.,53.45454545454545,63.09090909090909,70.8409090909091,71.47727272727273,16.35434461352223
378,The UK government should prioritize and accelerate digital transformation across all public services.,53.644444444444446,60.333333333333336,68.97777777777777,68.64444444444445,23.878628287422394
384,The UK should mandate that all new cars sold be electric vehicles by 2030.,54.86666666666667,63.4,65.62222222222222,35.0,28.763139290038943
385,The UK should transition to 100% renewable energy by 2030.,56.86666666666667,71.55555555555556,73.4888888888889,57.91111111111111,32.58891489045583
386,The UK should implement a complete ban on single-use plastics.,61.06666666666667,74.13333333333334,76.2,71.4,25.933831887394433
387,The UK should withdraw from the Paris Climate Agreement.,49.04347826086956,65.1086956521739,64.47826086956522,29.565217391304348,28.522624294029423
389,The UK should offer financial incentives to support carbon farming.,41.955555555555556,59.13333333333333,59.8,70.5111111111111,20.067638152261495
390,The UK should implement a mandatory carbon emissions cap for all industries.,53.28260869565217,64.43478260869566,67.93478260869566,60.45652173913044,25.209968506075025
392,The UK should implement legally binding targets for protecting biodiversity.,49.34782608695652,65.32608695652173,63.32608695652174,73.65217391304348,20.24759781779815
393,The UK should remove all regulations on environmental sustainability in supply chains.,51.28888888888889,70.93333333333334,71.75555555555556,18.244444444444444,22.0094561862887
