model,random_effects,term,estimate,conf.low,conf.high,statistic,p,p_bonferroni,significant_bonferroni
exploratory_paragraph_formality,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,-0.8888735304842016,-1.4125250241420808,-0.36522203682632237,-3.326945740936276,8.780346829197421e-4,NA,FALSE
exploratory_paragraph_formality,(1 | reader_id) + (1 | proposition_id),paragraph_formality,0.08339207466880524,0.06961744434065881,0.09716670499695168,11.86568779366488,1.784300957151197e-32,3.568601914302394e-31,TRUE
exploratory_paragraph_clarity,(1 | reader_id) + (1 | proposition_id),(Intercept),-5.385691098118273,-6.494358809025782,-4.277023387210764,-9.521122046144267,1.7131915161458598e-21,NA,FALSE
exploratory_paragraph_clarity,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,-0.7428058228085033,-1.1797106333172687,-0.30590101229973793,-3.3322422303292516,8.614923639494475e-4,NA,FALSE
exploratory_paragraph_clarity,(1 | reader_id) + (1 | proposition_id),paragraph_clarity,0.12423947203471475,0.10989962509678787,0.1385793189726416,16.980996498803343,1.13541735292799e-64,2.27083470585598e-63,TRUE
exploratory_paragraph_informativeness,(1 | reader_id) + (1 | proposition_id),(Intercept),-0.8083683273538371,-1.5754731146051462,-0.041263540102528085,-2.0653929348212414,0.038885836530606156,NA,FALSE
exploratory_paragraph_informativeness,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,-0.6486512425978864,-1.12184118541115,-0.17546129978462283,-2.686728856620523,0.007215549924519545,NA,FALSE
exploratory_paragraph_informativeness,(1 | reader_id) + (1 | proposition_id),paragraph_informativeness,0.08929640463071138,0.07599072784714639,0.10260208141427637,13.153614045494448,1.6223098357135578e-39,3.2446196714271155e-38,TRUE
exploratory_paragraph_originality,(1 | reader_id) + (1 | proposition_id),(Intercept),-1.0613403597557152,-1.881606352944555,-0.2410743665668753,-2.5359930775297777,0.011212895059547595,NA,FALSE
exploratory_paragraph_originality,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,-0.029461911772909223,-0.45734846686842234,0.39842464332260386,-0.13495232627187587,0.8926495675361822,NA,FALSE
exploratory_paragraph_originality,(1 | reader_id) + (1 | proposition_id),paragraph_originality,0.11317357031542494,0.09503276790009406,0.13131437273075583,12.227470248647121,2.217370941535176e-34,4.434741883070352e-33,TRUE
exploratory_paragraph_relevance,(1 | reader_id) + (1 | proposition_id),(Intercept),-5.52981177738067,-6.814693259520714,-4.244930295240625,-8.43519972511381,3.3063767680515134e-17,NA,FALSE
exploratory_paragraph_relevance,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,-0.40599759718280243,-0.844176023285016,0.03218082891941104,-1.8160197327982357,0.06936734521285794,NA,FALSE
exploratory_paragraph_relevance,(1 | reader_id) + (1 | proposition_id),paragraph_relevance,0.12022992977478192,0.10368691161651239,0.13677294793305145,14.244458294604323,4.852964738143657e-46,9.705929476287314e-45,TRUE
exploratory_writer_optimism,(1 | reader_id) + (1 | proposition_id),(Intercept),2.5524153347955836,1.6763572174386567,3.4284734521525104,5.710399836120566,1.1271105744374519e-8,NA,FALSE
exploratory_writer_optimism,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.3344176592675774,0.9433745153632265,1.7254608031719283,6.688291543447751,2.2579097789697107e-11,NA,FALSE
exploratory_writer_optimism,(1 | reader_id) + (1 | proposition_id),writer_optimism,0.008345394544790054,-0.007369253130840895,0.024060042220421005,1.040855199695644,0.297942756692501,1,FALSE
exploratory_writer_community,(1 | reader_id) + (1 | proposition_id),(Intercept),1.5686546098507543,0.5029800993873967,2.6343291203141117,2.8850333843055003,0.003913721572383744,NA,FALSE
exploratory_writer_community,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.1987281935428458,0.8094820922194135,1.587974294866278,6.035934794487562,1.580450669469683e-9,NA,FALSE
exploratory_writer_community,(1 | reader_id) + (1 | proposition_id),writer_community,0.0235136283008023,0.007571028891467421,0.03945622771013718,2.8907371647593156,0.003843394108535849,0.07686788217071698,FALSE
exploratory_writer_friendliness,(1 | reader_id),(Intercept),3.581168716166679,2.6165575423004483,4.54577989003291,7.276467343951375,3.42675015503832e-13,NA,FALSE
exploratory_writer_friendliness,(1 | reader_id),paragraph_type2ai,1.4793340327725135,1.1065063306582537,1.8521617348867734,7.776893747154912,7.43269827958822e-15,NA,FALSE
exploratory_writer_friendliness,(1 | reader_id),writer_friendliness,-0.014099164604761976,-0.03209343022552734,0.003895101016003386,-1.535703396839154,0.1246111415950741,1,FALSE
exploratory_writer_openness,(1 | reader_id) + (1 | proposition_id),(Intercept),5.973943742849321,5.221136015099117,6.726751470599525,15.553393184000702,1.5089486455713303e-54,NA,FALSE
exploratory_writer_openness,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.1467482911549778,0.784163776704879,1.5093328056050765,6.198790241787712,5.689880131648188e-10,NA,FALSE
exploratory_writer_openness,(1 | reader_id) + (1 | proposition_id),writer_openness,-0.08584554789388396,-0.10004923292562946,-0.07164186286213846,-11.845811965632127,2.2621665125602552e-32,4.52433302512051e-31,TRUE
exploratory_paragraph_hope,(1 | reader_id) + (1 | proposition_id),(Intercept),3.1061857010521936,2.3168635970416873,3.8955078050627,7.712962898698404,1.2292983342704584e-14,NA,FALSE
exploratory_paragraph_hope,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.4653058120306668,1.0722926838060252,1.8583189402553084,7.307508100023964,2.7214192539173993e-13,NA,FALSE
exploratory_paragraph_hope,(1 | reader_id) + (1 | proposition_id),paragraph_hope,-0.004806774879635744,-0.019567341976813084,0.009953792217541594,-0.6382617675766338,0.5233032951658285,1,FALSE
exploratory_paragraph_excitement,(1 | reader_id) + (1 | proposition_id),(Intercept),2.578675004037121,1.8241894190652848,3.333160589008957,6.698749765954902,2.1021019443531158e-11,NA,FALSE
exploratory_paragraph_excitement,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.3329388760381082,0.9506555582200477,1.7152221938561687,6.8339686009300555,8.25971108694743e-12,NA,FALSE
exploratory_paragraph_excitement,(1 | reader_id) + (1 | proposition_id),paragraph_excitement,0.012942086316368227,-0.007116314166164249,0.033000486798900705,1.264608466013028,0.20601171672322416,1,FALSE
exploratory_paragraph_fear,(1 | reader_id) + (1 | proposition_id),(Intercept),2.239759143657994,1.4755095755756689,3.004008711740319,5.743997038335343,9.24674056546144e-9,NA,FALSE
exploratory_paragraph_fear,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.4510059517309855,1.0890943472612358,1.8129175562007351,7.858049787910857,3.901602322243425e-15,NA,FALSE
exploratory_paragraph_fear,(1 | reader_id) + (1 | proposition_id),paragraph_fear,0.01942491393081771,0.0039887766138566715,0.034861051247778746,2.4664286748317457,0.013646790405875627,0.27293580811751256,FALSE
exploratory_paragraph_disgust,(1 | reader_id) + (1 | proposition_id),(Intercept),2.3906028612775954,1.7096293770311404,3.0715763455240506,6.880584366111287,5.960753138490339e-12,NA,FALSE
exploratory_paragraph_disgust,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.50532168211408,1.13776123612054,1.87288212810762,8.026914523176691,9.995467499824499e-16,NA,FALSE
exploratory_paragraph_disgust,(1 | reader_id) + (1 | proposition_id),paragraph_disgust,0.0179773190287948,0.004019527089443033,0.031935110968146566,2.5243891002333405,0.011589956697421477,0.23179913394842955,FALSE
exploratory_paragraph_anger,(1 | reader_id) + (1 | proposition_id),(Intercept),2.154961591165488,1.4675965555760084,2.842326626754967,6.144692976897368,8.01183317113962e-10,NA,FALSE
exploratory_paragraph_anger,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.5383484004379413,1.1714093195787265,1.905287481297156,8.216915607552812,2.0880389628759898e-16,NA,FALSE
exploratory_paragraph_anger,(1 | reader_id) + (1 | proposition_id),paragraph_anger,0.023807771182415085,0.010840744105441244,0.036774798259388924,3.598540651817154,3.200078352414825e-4,0.00640015670482965,TRUE
exploratory_writer_affect_x,(1 | reader_id) + (1 | proposition_id),(Intercept),4.535548185756271,3.702792711426351,5.368303660086191,10.674815559010584,1.335224183140384e-26,NA,FALSE
exploratory_writer_affect_x,(1 | reader_id) + (1 | proposition_id),paragraph_type2ai,1.6524222774216617,1.280150066373865,2.0246944884694584,8.699784874843338,3.3251391657986766e-18,NA,FALSE
exploratory_writer_affect_x,(1 | reader_id) + (1 | proposition_id),writer_affect_x,-0.039843751436728074,-0.05530404479064523,-0.024383458082810915,-5.051153690118491,4.39149540968583e-7,8.78299081937166e-6,TRUE
exploratory_writer_affect_y,(1 | reader_id),(Intercept),6.534401524761162,5.563461395934347,7.505341653587978,13.190506055744528,9.95149598211766e-40,NA,FALSE
exploratory_writer_affect_y,(1 | reader_id),paragraph_type2ai,1.079648505694704,0.706251837466277,1.4530451739231312,5.667089096332242,1.452438282327164e-8,NA,FALSE
exploratory_writer_affect_y,(1 | reader_id),writer_affect_y,-0.08498973631479856,-0.10653463426271728,-0.06344483836687984,-7.7316134258437135,1.0619199917924493e-14,2.1238399835848985e-13,TRUE
